"participant","condition","order","trial","response","initial","final","difference","index","image"
1,"responsibility","41",1,46,8,7,0,1,"trial_1_diff_1_index_1"
1,"responsibility","22",2,32,8,7,0,2,"trial_2_diff_1_index_2"
1,"responsibility","6",3,49,9,8,0,3,"trial_3_diff_1_index_3"
1,"responsibility","35",4,25,10,9,0,4,"trial_4_diff_1_index_4"
1,"responsibility","25",5,2,13,12,0,5,"trial_5_diff_1_index_5"
1,"responsibility","9",6,49,13,12,0,6,"trial_6_diff_1_index_6"
1,"responsibility","24",7,58,7,5,1,1,"trial_7_diff_2_index_1"
1,"responsibility","23",8,20,8,6,1,2,"trial_8_diff_2_index_2"
1,"responsibility","21",9,47,10,8,1,3,"trial_9_diff_2_index_3"
1,"responsibility","12",10,60,12,10,1,4,"trial_10_diff_2_index_4"
1,"responsibility","37",11,36,12,10,1,5,"trial_11_diff_2_index_5"
1,"responsibility","26",12,45,12,10,1,6,"trial_12_diff_2_index_6"
1,"responsibility","40",13,26,12,9,2,1,"trial_13_diff_3_index_1"
1,"responsibility","11",14,34,13,10,2,2,"trial_14_diff_3_index_2"
1,"responsibility","13",15,71,13,10,2,3,"trial_15_diff_3_index_3"
1,"responsibility","20",16,49,15,12,2,4,"trial_16_diff_3_index_4"
1,"responsibility","38",17,25,16,13,2,5,"trial_17_diff_3_index_5"
1,"responsibility","5",18,22,19,16,2,6,"trial_18_diff_3_index_6"
1,"responsibility","33",19,33,9,5,3,1,"trial_19_diff_4_index_1"
1,"responsibility","2",20,47,15,11,3,2,"trial_20_diff_4_index_2"
1,"responsibility","28",21,80,16,12,3,3,"trial_21_diff_4_index_3"
1,"responsibility","15",22,82,17,13,3,4,"trial_22_diff_4_index_4"
1,"responsibility","31",23,52,19,15,3,5,"trial_23_diff_4_index_5"
1,"responsibility","18",24,78,20,16,3,6,"trial_24_diff_4_index_6"
1,"responsibility","1",25,76,9,4,4,1,"trial_25_diff_5_index_1"
1,"responsibility","34",26,28,14,9,4,2,"trial_26_diff_5_index_2"
1,"responsibility","32",27,51,14,9,4,3,"trial_27_diff_5_index_3"
1,"responsibility","39",28,45,15,10,4,4,"trial_28_diff_5_index_4"
1,"responsibility","27",29,64,15,10,4,5,"trial_29_diff_5_index_5"
1,"responsibility","10",30,50,17,12,4,6,"trial_30_diff_5_index_6"
1,"responsibility","42",31,64,14,8,5,1,"trial_31_diff_6_index_1"
1,"responsibility","7",32,77,14,8,5,2,"trial_32_diff_6_index_2"
1,"responsibility","4",33,29,15,9,5,3,"trial_33_diff_6_index_3"
1,"responsibility","16",34,69,16,10,5,4,"trial_34_diff_6_index_4"
1,"responsibility","17",35,51,18,12,5,5,"trial_35_diff_6_index_5"
1,"responsibility","8",36,81,19,13,5,6,"trial_36_diff_6_index_6"
1,"responsibility","14",37,81,14,7,6,1,"trial_37_diff_7_index_1"
1,"responsibility","30",38,76,14,7,6,2,"trial_38_diff_7_index_2"
1,"responsibility","29",39,83,15,8,6,3,"trial_39_diff_7_index_3"
1,"responsibility","3",40,92,16,9,6,4,"trial_40_diff_7_index_4"
1,"responsibility","19",41,54,16,9,6,5,"trial_41_diff_7_index_5"
1,"responsibility","36",42,73,16,9,6,6,"trial_42_diff_7_index_6"
2,"prediction","3",1,0,8,7,0,1,"trial_1_diff_1_index_1"
2,"prediction","36",2,2,8,7,0,2,"trial_2_diff_1_index_2"
2,"prediction","11",3,3,9,8,0,3,"trial_3_diff_1_index_3"
2,"prediction","23",4,4,10,9,0,4,"trial_4_diff_1_index_4"
2,"prediction","33",5,0,13,12,0,5,"trial_5_diff_1_index_5"
2,"prediction","21",6,5,13,12,0,6,"trial_6_diff_1_index_6"
2,"prediction","18",7,4,7,5,1,1,"trial_7_diff_2_index_1"
2,"prediction","39",8,1,8,6,1,2,"trial_8_diff_2_index_2"
2,"prediction","27",9,4,10,8,1,3,"trial_9_diff_2_index_3"
2,"prediction","5",10,5,12,10,1,4,"trial_10_diff_2_index_4"
2,"prediction","38",11,5,12,10,1,5,"trial_11_diff_2_index_5"
2,"prediction","40",12,3,12,10,1,6,"trial_12_diff_2_index_6"
2,"prediction","6",13,2,12,9,2,1,"trial_13_diff_3_index_1"
2,"prediction","12",14,6,13,10,2,2,"trial_14_diff_3_index_2"
2,"prediction","35",15,6,13,10,2,3,"trial_15_diff_3_index_3"
2,"prediction","31",16,6,15,12,2,4,"trial_16_diff_3_index_4"
2,"prediction","25",17,4,16,13,2,5,"trial_17_diff_3_index_5"
2,"prediction","2",18,5,19,16,2,6,"trial_18_diff_3_index_6"
2,"prediction","24",19,6,9,5,3,1,"trial_19_diff_4_index_1"
2,"prediction","42",20,2,15,11,3,2,"trial_20_diff_4_index_2"
2,"prediction","29",21,8,16,12,3,3,"trial_21_diff_4_index_3"
2,"prediction","13",22,8,17,13,3,4,"trial_22_diff_4_index_4"
2,"prediction","26",23,7,19,15,3,5,"trial_23_diff_4_index_5"
2,"prediction","15",24,6,20,16,3,6,"trial_24_diff_4_index_6"
2,"prediction","14",25,5,9,4,4,1,"trial_25_diff_5_index_1"
2,"prediction","10",26,2,14,9,4,2,"trial_26_diff_5_index_2"
2,"prediction","7",27,6,14,9,4,3,"trial_27_diff_5_index_3"
2,"prediction","4",28,3,15,10,4,4,"trial_28_diff_5_index_4"
2,"prediction","19",29,6,15,10,4,5,"trial_29_diff_5_index_5"
2,"prediction","20",30,7,17,12,4,6,"trial_30_diff_5_index_6"
2,"prediction","34",31,4,14,8,5,1,"trial_31_diff_6_index_1"
2,"prediction","17",32,7,14,8,5,2,"trial_32_diff_6_index_2"
2,"prediction","1",33,4,15,9,5,3,"trial_33_diff_6_index_3"
2,"prediction","30",34,4,16,10,5,4,"trial_34_diff_6_index_4"
2,"prediction","28",35,6,18,12,5,5,"trial_35_diff_6_index_5"
2,"prediction","8",36,11,19,13,5,6,"trial_36_diff_6_index_6"
2,"prediction","16",37,5,14,7,6,1,"trial_37_diff_7_index_1"
2,"prediction","9",38,7,14,7,6,2,"trial_38_diff_7_index_2"
2,"prediction","32",39,8,15,8,6,3,"trial_39_diff_7_index_3"
2,"prediction","37",40,5,16,9,6,4,"trial_40_diff_7_index_4"
2,"prediction","22",41,5,16,9,6,5,"trial_41_diff_7_index_5"
2,"prediction","41",42,6,16,9,6,6,"trial_42_diff_7_index_6"
4,"responsibility","40",1,50,8,7,0,1,"trial_1_diff_1_index_1"
4,"responsibility","10",2,56,8,7,0,2,"trial_2_diff_1_index_2"
4,"responsibility","9",3,58,9,8,0,3,"trial_3_diff_1_index_3"
4,"responsibility","16",4,20,10,9,0,4,"trial_4_diff_1_index_4"
4,"responsibility","3",5,0,13,12,0,5,"trial_5_diff_1_index_5"
4,"responsibility","24",6,42,13,12,0,6,"trial_6_diff_1_index_6"
4,"responsibility","31",7,63,7,5,1,1,"trial_7_diff_2_index_1"
4,"responsibility","34",8,33,8,6,1,2,"trial_8_diff_2_index_2"
4,"responsibility","29",9,50,10,8,1,3,"trial_9_diff_2_index_3"
4,"responsibility","38",10,66,12,10,1,4,"trial_10_diff_2_index_4"
4,"responsibility","26",11,33,12,10,1,5,"trial_11_diff_2_index_5"
4,"responsibility","14",12,5,12,10,1,6,"trial_12_diff_2_index_6"
4,"responsibility","8",13,34,12,9,2,1,"trial_13_diff_3_index_1"
4,"responsibility","41",14,65,13,10,2,2,"trial_14_diff_3_index_2"
4,"responsibility","32",15,61,13,10,2,3,"trial_15_diff_3_index_3"
4,"responsibility","5",16,37,15,12,2,4,"trial_16_diff_3_index_4"
4,"responsibility","7",17,15,16,13,2,5,"trial_17_diff_3_index_5"
4,"responsibility","18",18,58,19,16,2,6,"trial_18_diff_3_index_6"
4,"responsibility","13",19,64,9,5,3,1,"trial_19_diff_4_index_1"
4,"responsibility","1",20,51,15,11,3,2,"trial_20_diff_4_index_2"
4,"responsibility","20",21,71,16,12,3,3,"trial_21_diff_4_index_3"
4,"responsibility","15",22,73,17,13,3,4,"trial_22_diff_4_index_4"
4,"responsibility","23",23,69,19,15,3,5,"trial_23_diff_4_index_5"
4,"responsibility","37",24,62,20,16,3,6,"trial_24_diff_4_index_6"
4,"responsibility","35",25,67,9,4,4,1,"trial_25_diff_5_index_1"
4,"responsibility","39",26,34,14,9,4,2,"trial_26_diff_5_index_2"
4,"responsibility","12",27,46,14,9,4,3,"trial_27_diff_5_index_3"
4,"responsibility","6",28,51,15,10,4,4,"trial_28_diff_5_index_4"
4,"responsibility","21",29,65,15,10,4,5,"trial_29_diff_5_index_5"
4,"responsibility","33",30,35,17,12,4,6,"trial_30_diff_5_index_6"
4,"responsibility","11",31,86,14,8,5,1,"trial_31_diff_6_index_1"
4,"responsibility","4",32,50,14,8,5,2,"trial_32_diff_6_index_2"
4,"responsibility","27",33,57,15,9,5,3,"trial_33_diff_6_index_3"
4,"responsibility","22",34,66,16,10,5,4,"trial_34_diff_6_index_4"
4,"responsibility","2",35,19,18,12,5,5,"trial_35_diff_6_index_5"
4,"responsibility","28",36,83,19,13,5,6,"trial_36_diff_6_index_6"
4,"responsibility","42",37,63,14,7,6,1,"trial_37_diff_7_index_1"
4,"responsibility","25",38,44,14,7,6,2,"trial_38_diff_7_index_2"
4,"responsibility","19",39,47,15,8,6,3,"trial_39_diff_7_index_3"
4,"responsibility","30",40,52,16,9,6,4,"trial_40_diff_7_index_4"
4,"responsibility","17",41,3,16,9,6,5,"trial_41_diff_7_index_5"
4,"responsibility","36",42,88,16,9,6,6,"trial_42_diff_7_index_6"
5,"responsibility","5",1,30,8,7,0,1,"trial_1_diff_1_index_1"
5,"responsibility","40",2,12,8,7,0,2,"trial_2_diff_1_index_2"
5,"responsibility","4",3,50,9,8,0,3,"trial_3_diff_1_index_3"
5,"responsibility","6",4,41,10,9,0,4,"trial_4_diff_1_index_4"
5,"responsibility","39",5,1,13,12,0,5,"trial_5_diff_1_index_5"
5,"responsibility","28",6,51,13,12,0,6,"trial_6_diff_1_index_6"
5,"responsibility","31",7,42,7,5,1,1,"trial_7_diff_2_index_1"
5,"responsibility","17",8,13,8,6,1,2,"trial_8_diff_2_index_2"
5,"responsibility","38",9,19,10,8,1,3,"trial_9_diff_2_index_3"
5,"responsibility","13",10,62,12,10,1,4,"trial_10_diff_2_index_4"
5,"responsibility","30",11,26,12,10,1,5,"trial_11_diff_2_index_5"
5,"responsibility","21",12,23,12,10,1,6,"trial_12_diff_2_index_6"
5,"responsibility","9",13,34,12,9,2,1,"trial_13_diff_3_index_1"
5,"responsibility","18",14,24,13,10,2,2,"trial_14_diff_3_index_2"
5,"responsibility","27",15,58,13,10,2,3,"trial_15_diff_3_index_3"
5,"responsibility","34",16,55,15,12,2,4,"trial_16_diff_3_index_4"
5,"responsibility","37",17,17,16,13,2,5,"trial_17_diff_3_index_5"
5,"responsibility","32",18,28,19,16,2,6,"trial_18_diff_3_index_6"
5,"responsibility","36",19,62,9,5,3,1,"trial_19_diff_4_index_1"
5,"responsibility","25",20,42,15,11,3,2,"trial_20_diff_4_index_2"
5,"responsibility","7",21,57,16,12,3,3,"trial_21_diff_4_index_3"
5,"responsibility","10",22,45,17,13,3,4,"trial_22_diff_4_index_4"
5,"responsibility","41",23,61,19,15,3,5,"trial_23_diff_4_index_5"
5,"responsibility","20",24,17,20,16,3,6,"trial_24_diff_4_index_6"
5,"responsibility","2",25,81,9,4,4,1,"trial_25_diff_5_index_1"
5,"responsibility","42",26,28,14,9,4,2,"trial_26_diff_5_index_2"
5,"responsibility","22",27,22,14,9,4,3,"trial_27_diff_5_index_3"
5,"responsibility","24",28,30,15,10,4,4,"trial_28_diff_5_index_4"
5,"responsibility","33",29,51,15,10,4,5,"trial_29_diff_5_index_5"
5,"responsibility","23",30,45,17,12,4,6,"trial_30_diff_5_index_6"
5,"responsibility","12",31,63,14,8,5,1,"trial_31_diff_6_index_1"
5,"responsibility","26",32,47,14,8,5,2,"trial_32_diff_6_index_2"
5,"responsibility","14",33,55,15,9,5,3,"trial_33_diff_6_index_3"
5,"responsibility","15",34,26,16,10,5,4,"trial_34_diff_6_index_4"
5,"responsibility","16",35,17,18,12,5,5,"trial_35_diff_6_index_5"
5,"responsibility","1",36,60,19,13,5,6,"trial_36_diff_6_index_6"
5,"responsibility","3",37,76,14,7,6,1,"trial_37_diff_7_index_1"
5,"responsibility","11",38,52,14,7,6,2,"trial_38_diff_7_index_2"
5,"responsibility","35",39,50,15,8,6,3,"trial_39_diff_7_index_3"
5,"responsibility","29",40,35,16,9,6,4,"trial_40_diff_7_index_4"
5,"responsibility","19",41,38,16,9,6,5,"trial_41_diff_7_index_5"
5,"responsibility","8",42,66,16,9,6,6,"trial_42_diff_7_index_6"
6,"prediction","19",1,1,8,7,0,1,"trial_1_diff_1_index_1"
6,"prediction","23",2,0,8,7,0,2,"trial_2_diff_1_index_2"
6,"prediction","22",3,1,9,8,0,3,"trial_3_diff_1_index_3"
6,"prediction","40",4,1,10,9,0,4,"trial_4_diff_1_index_4"
6,"prediction","9",5,0,13,12,0,5,"trial_5_diff_1_index_5"
6,"prediction","35",6,2,13,12,0,6,"trial_6_diff_1_index_6"
6,"prediction","6",7,1,7,5,1,1,"trial_7_diff_2_index_1"
6,"prediction","36",8,3,8,6,1,2,"trial_8_diff_2_index_2"
6,"prediction","34",9,3,10,8,1,3,"trial_9_diff_2_index_3"
6,"prediction","41",10,2,12,10,1,4,"trial_10_diff_2_index_4"
6,"prediction","29",11,4,12,10,1,5,"trial_11_diff_2_index_5"
6,"prediction","31",12,3,12,10,1,6,"trial_12_diff_2_index_6"
6,"prediction","33",13,2,12,9,2,1,"trial_13_diff_3_index_1"
